avg_rating,geek_rating,num_voters,rank,release_date,title,url
6.45,5.725,409.0,4093,1999,Kayanak,/boardgame/4493/kayanak
6.43,5.725,436.0,4094,2015,Bomb Squad Academy,/boardgame/166202/bomb-squad-academy
6.81,5.725,268.0,4095,2013,Händler der Karibik,/boardgame/147999/handler-der-karibik
7.18,5.725,242.0,4096,2018,Maiden's Quest,/boardgame/240843/maidens-quest
7.03,5.724,243.0,4097,2017,Senators,/boardgame/234337/senators
6.86,5.735,334.0,3994,2019,Siege Storm,/boardgame/242343/siege-storm
7.3,5.735,213.0,3995,2018,Donning the Purple,/boardgame/221155/donning-purple
6.63,5.735,328.0,3996,2014,Orongo,/boardgame/165556/orongo
8.51,5.735,136.0,3997,2016,Austerlitz 1805: Rising Eagles,/boardgame/200247/austerlitz-1805-rising-eagles
6.81,5.735,294.0,3998,2014,Battle Merchants,/boardgame/59936/battle-merchants
6.6,5.734,359.0,3999,1990,Airlines,/boardgame/43/airlines
5.98,5.734,1247.0,4000,2001,Africa,/boardgame/1315/africa
6.27,5.705,519.0,4340,1981,Hitler's War,/boardgame/2168/hitlers-war
7.51,5.705,238.0,4341,2014,Mint Tin Pirates,/boardgame/165346/mint-tin-pirates
6.7,5.705,276.0,4342,2014,Steam Donkey,/boardgame/155042/steam-donkey
6.2,5.705,678.0,4343,2008,Stratego (Revised Edition),/boardgame/40432/stratego-revised-edition
6.17,5.705,711.0,4344,2003,Zombiaki,/boardgame/15474/zombiaki
6.71,5.705,314.0,4345,2010,Flash Duel,/boardgame/65334/flash-duel
6.1,5.705,741.0,4346,2011,Rumble in the House,/boardgame/99437/rumble-house
6.34,5.705,439.0,4347,2013,Dungeon Twister: The Card Game,/boardgame/144525/dungeon-twister-card-game
7.26,5.705,180.0,4348,2018,The Big Score,/boardgame/226445/big-score
6.31,5.704,445.0,4349,2008,Hoppladi Hopplada!,/boardgame/39088/hoppladi-hopplada
7.37,5.704,170.0,4350,2005,Panzer Grenadier: Road to Berlin,/boardgame/16805/panzer-grenadier-road-berlin
